marknewman-astro,507512,17240,450888,44856,520504,17368,443720,48184,657528,26200,331912,64568,1020496,1029776,1080208
marknewman-condmat,1206392,36568,710888,93176,1225016,36504,704520,96696,1494392,61720,466472,158328,2047024,2062736,2180912
snap-dblp,9157240,264152,3717672,724024,9337976,267864,3710120,756792,11034360,450520,2321960,1308280,13863088,14072752,15115120
snap-amazon,27688056,701272,18264104,2194616,28092216,720600,18155816,2298040,32730680,1052056,14134568,3394104,48848048,49266672,51311408
dblp-2010,6376120,264536,2233960,724664,6721336,264792,2237544,762296,7412280,430424,1088424,1207864,9599280,9985968,10138992
dblp-2011,27129144,792408,13417192,2249848,28130424,800664,13362280,2347192,32853944,1499800,7279144,4497976,43588592,44640560,46130864
ca-coauthors,16764152,388504,4709416,810104,17791928,419992,4341608,912184,21342328,573528,1439880,1091192,22672176,23465712,24446928
coPapersCiteseer,11574136,273496,2883816,520056,12215544,291416,2672680,586552,14953400,392984,928072,695480,15251504,15766192,16969936
